frame,time_s,Kc,Kh,target_speed,target_heading_deg,heading_error_deg,heading_correction,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
1242,19.872,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,634.41,289.71
1245,19.92,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,637.66,289.83
1248,19.968,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,640.9,289.96
1251,20.016,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,644.15,290.08
1254,20.064,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,647.4,290.21
1257,20.112,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,650.64,290.33
1260,20.16,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,653.89,290.46
1263,20.208,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,657.14,290.58
1266,20.256,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,660.38,290.71
1269,20.304,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,663.63,290.83
1272,20.352,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,666.88,290.96
1275,20.4,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,670.13,291.08
1278,20.448,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,673.37,291.21
1281,20.496,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,676.62,291.33
1284,20.544,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,679.87,291.46
1287,20.592,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,683.11,291.58
1290,20.64,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,686.36,291.71
1293,20.688,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,689.61,291.83
1296,20.736,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,692.85,291.96
1299,20.784,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,696.1,292.08
1302,20.832,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,699.35,292.21
1305,20.88,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,702.59,292.33
1308,20.928,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,705.84,292.46
1311,20.976,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,709.09,292.58
1314,21.024,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,712.33,292.71
1317,21.072,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,715.58,292.83
1320,21.12,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,718.83,292.96
1323,21.168,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,722.07,293.08
1326,21.216,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,725.32,293.21
1329,21.264,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,728.57,293.33
1332,21.312,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,731.81,293.46
1335,21.36,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,735.06,293.58
1338,21.408,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,738.31,293.71
1341,21.456,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,741.56,293.83
1344,21.504,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,744.8,293.96
1347,21.552,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,748.05,294.08
1350,21.6,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,751.3,294.21
1353,21.648,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,754.54,294.33
1356,21.696,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,757.79,294.46
1359,21.744,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,761.04,294.58
1362,21.792,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,764.28,294.71
1365,21.84,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,767.53,294.83
1368,21.888,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,770.78,294.96
1371,21.936,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,774.02,295.08
1374,21.984,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,777.27,295.21
1377,22.032,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,780.52,295.33
1380,22.08,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,783.76,295.46
1383,22.128,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,787.01,295.58
1386,22.176,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,790.26,295.7
1389,22.224,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,793.5,295.83
1392,22.272,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,796.75,295.95
1395,22.32,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,800.0,296.08
1398,22.368,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,803.24,296.2
1401,22.416,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,806.49,296.33
1404,22.464,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,809.74,296.45
1407,22.512,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,812.99,296.58
1410,22.56,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,816.23,296.7
1413,22.608,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,819.48,296.83
1416,22.656,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,822.73,296.95
1419,22.704,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,825.97,297.08
1422,22.752,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,829.22,297.2
1425,22.8,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,832.47,297.33
1428,22.848,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,835.71,297.45
1431,22.896,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,838.96,297.58
1434,22.944,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,842.21,297.7
1437,22.992,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,845.45,297.83
1440,23.04,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,848.7,297.95
1443,23.088,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,851.95,298.08
1446,23.136,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,855.19,298.2
1449,23.184,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,858.44,298.33
1452,23.232,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,861.69,298.45
1455,23.28,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,864.93,298.58
1458,23.328,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,868.18,298.7
1461,23.376,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,871.43,298.83
1464,23.424,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,874.68,298.95
1467,23.472,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,877.92,299.08
1470,23.52,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,881.17,299.2
1473,23.568,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,884.42,299.33
1476,23.616,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,887.66,299.45
1479,23.664,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,890.91,299.58
1482,23.712,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,894.16,299.7
1485,23.76,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,897.4,299.83
1488,23.808,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,0.65,299.95
1491,23.856,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,3.9,300.08
1494,23.904,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,7.14,300.2
1497,23.952,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,10.39,300.33
1500,24.0,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,13.64,300.45
1503,24.048,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,16.88,300.58
1506,24.096,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,20.13,300.7
1509,24.144,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,23.38,300.83
1512,24.192,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,26.62,300.95
1515,24.24,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,29.87,301.08
1518,24.288,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,33.12,301.2
1521,24.336,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,36.36,301.33
1524,24.384,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,39.61,301.45
1527,24.432,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,42.86,301.58
1530,24.48,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,46.11,301.7
1533,24.528,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,49.35,301.83
1536,24.576,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,52.6,301.95
1539,24.624,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,55.85,302.08
1542,24.672,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,59.09,302.2
1545,24.72,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,62.34,302.33
1548,24.768,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,65.59,302.45
1551,24.816,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,68.83,302.58
1554,24.864,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,72.08,302.7
1557,24.912,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,75.33,302.83
1560,24.96,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,78.57,302.95
1563,25.008,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,81.82,303.08
1566,25.056,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,85.07,303.2
1569,25.104,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,88.31,303.33
1572,25.152,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,91.56,303.45
1575,25.2,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,94.81,303.58
1578,25.248,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,98.05,303.7
1581,25.296,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,101.3,303.83
1584,25.344,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,104.55,303.95
1587,25.392,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,107.8,304.08
1590,25.44,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,111.04,304.2
1593,25.488,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,114.29,304.33
1596,25.536,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,117.54,304.45
1599,25.584,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,120.78,304.58
1602,25.632,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,124.03,304.7
1605,25.68,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,127.28,304.83
1608,25.728,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,130.52,304.95
1611,25.776,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,133.77,305.08
1614,25.824,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,137.02,305.2
1617,25.872,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,140.26,305.33
1620,25.92,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,143.51,305.45
1623,25.968,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,146.76,305.58
1626,26.016,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,150.0,305.7
1629,26.064,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,153.25,305.83
1632,26.112,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,156.5,305.95
1635,26.16,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,159.74,306.07
1638,26.208,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,162.99,306.2
1641,26.256,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,166.24,306.32
1644,26.304,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,169.48,306.45
1647,26.352,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,172.73,306.57
1650,26.4,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,175.98,306.7
1653,26.448,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,179.23,306.82
1656,26.496,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,182.47,306.95
1659,26.544,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,185.72,307.07
1662,26.592,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,188.97,307.2
1665,26.64,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,192.21,307.32
1668,26.688,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,195.46,307.45
1671,26.736,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,198.71,307.57
1674,26.784,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,201.95,307.7
1677,26.832,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,205.2,307.82
1680,26.88,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,208.45,307.95
1683,26.928,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,211.69,308.07
1686,26.976,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,214.94,308.2
1689,27.024,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,218.19,308.32
1692,27.072,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,221.43,308.45
1695,27.12,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,224.68,308.57
1698,27.168,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,227.93,308.7
1701,27.216,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,231.17,308.82
1704,27.264,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,234.42,308.95
1707,27.312,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,237.67,309.07
1710,27.36,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,240.92,309.2
1713,27.408,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,244.16,309.32
1716,27.456,2.0,40.0,100.0,0.0,-2.2037,-1.5385,33.8462,30.7692,67.6923,61.5385,67.6923,67.6923,67.6923,0.0,2.2037,247.41,309.45
