frame,time_s,Kc,target_speed,left_gain,right_gain,tau,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
1566,25.056,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.277,169.99,228.13
1569,25.104,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.289,170.87,228.73
1572,25.152,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.301,171.75,229.33
1575,25.2,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.313,172.62,229.93
1578,25.248,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.324,173.5,230.53
1581,25.296,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.336,174.38,231.13
1584,25.344,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.348,175.26,231.73
1587,25.392,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.36,176.13,232.32
1590,25.44,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.371,177.01,232.92
1593,25.488,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.383,177.88,233.52
1596,25.536,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.395,178.76,234.12
1599,25.584,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.407,179.64,234.72
1602,25.632,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.419,180.51,235.32
1605,25.68,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.43,181.39,235.92
1608,25.728,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.442,182.26,236.52
1611,25.776,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.454,183.14,237.12
1614,25.824,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.466,184.01,237.73
1617,25.872,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.477,184.89,238.33
1620,25.92,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.489,185.77,238.93
1623,25.968,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.501,186.64,239.53
1626,26.016,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.513,187.52,240.13
1629,26.064,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.524,188.39,240.73
1632,26.112,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.536,189.26,241.33
1635,26.16,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.548,190.14,241.94
1638,26.208,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.56,191.01,242.54
1641,26.256,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.572,191.89,243.14
1644,26.304,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.583,192.76,243.74
1647,26.352,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.595,193.64,244.35
1650,26.4,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.607,194.51,244.95
1653,26.448,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.619,195.38,245.55
1656,26.496,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.63,196.26,246.16
1659,26.544,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.642,197.13,246.76
1662,26.592,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.654,198.0,247.36
1665,26.64,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.666,198.88,247.97
1668,26.688,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.678,199.75,248.57
1671,26.736,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.689,200.62,249.17
1674,26.784,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.701,201.5,249.78
1677,26.832,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.713,202.37,250.38
1680,26.88,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.725,203.24,250.99
1683,26.928,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.736,204.12,251.59
1686,26.976,6.875,25.19,1.0,1.1,0.5,3.1987,2.9419,21.9913,20.2255,21.9913,22.2481,22.1197,0.0043,34.748,204.99,252.2
1689,27.024,6.496,25.19,1.0,1.1,0.5,3.2229,2.9663,20.9359,19.2693,21.9341,22.1908,22.0624,0.0043,34.76,205.86,252.8
1692,27.072,6.07,25.19,1.0,1.1,0.5,3.3412,3.083,20.2813,18.7135,21.7986,22.0583,21.9285,0.0043,34.772,206.73,253.4
1695,27.12,5.549,25.19,1.0,1.1,0.5,3.5139,3.2504,19.4989,18.0365,21.6064,21.8724,21.7394,0.0044,34.784,207.59,254.0
1698,27.168,5.312,25.19,1.0,1.1,0.5,3.7117,3.4393,19.7165,18.2698,21.4219,21.6977,21.5598,0.0046,34.796,208.44,254.59
1701,27.216,5.075,25.19,1.0,1.1,0.5,3.8871,3.6046,19.7271,18.2933,21.2525,21.5386,21.3955,0.0048,34.809,209.28,255.18
1704,27.264,4.838,25.19,1.0,1.1,0.5,4.023,3.7298,19.4632,18.045,21.1125,21.4086,21.2606,0.0049,34.823,210.12,255.77
1707,27.312,4.696,25.19,1.0,1.1,0.5,4.1641,3.8616,19.5546,18.1342,20.9788,21.2842,21.1315,0.0051,34.837,210.96,256.35
1710,27.36,4.506,25.19,1.0,1.1,0.5,4.311,4.0,19.4253,18.024,20.8325,21.1464,20.9894,0.0052,34.851,211.79,256.92
1713,27.408,4.27,25.19,1.0,1.1,0.5,4.4594,4.1401,19.0418,17.6784,20.6765,20.9986,20.8375,0.0054,34.865,212.61,257.5
1716,27.456,4.127,25.19,1.0,1.1,0.5,4.6154,4.2877,19.0477,17.6953,20.5257,20.8563,20.691,0.0055,34.881,213.42,258.06
1719,27.504,4.127,25.19,1.0,1.1,0.5,4.7392,4.4027,19.5588,18.1698,20.4222,20.7617,20.592,0.0057,34.896,214.24,258.63
1722,27.552,4.127,25.19,1.0,1.1,0.5,4.8116,4.4667,19.8574,18.4341,20.3617,20.709,20.5354,0.0058,34.912,215.05,259.2
1725,27.6,4.127,25.19,1.0,1.1,0.5,4.8538,4.5024,20.0318,18.5813,20.3264,20.6797,20.5031,0.0059,34.928,215.85,259.76
1728,27.648,4.127,25.19,1.0,1.1,0.5,4.8785,4.5222,20.1337,18.6632,20.3058,20.6634,20.4846,0.006,34.944,216.66,260.32
1731,27.696,4.127,25.19,1.0,1.1,0.5,4.8929,4.5333,20.1932,18.7088,20.2937,20.6543,20.474,0.006,34.961,217.46,260.89
1734,27.744,4.127,25.19,1.0,1.1,0.5,4.9014,4.5394,20.228,18.7343,20.2867,20.6492,20.4679,0.006,34.977,218.27,261.45
1737,27.792,4.127,25.19,1.0,1.1,0.5,4.9063,4.5429,20.2483,18.7484,20.2826,20.6464,20.4645,0.0061,34.994,219.07,262.01
1740,27.84,4.127,25.19,1.0,1.1,0.5,4.9092,4.5448,20.2601,18.7563,20.2802,20.6448,20.4625,0.0061,35.011,219.88,262.58
1743,27.888,4.127,25.19,1.0,1.1,0.5,4.9108,4.5458,20.2671,18.7607,20.2788,20.6439,20.4613,0.0061,35.027,220.68,263.14
1746,27.936,4.127,25.19,1.0,1.1,0.5,4.9118,4.5464,20.2711,18.7631,20.2779,20.6434,20.4607,0.0061,35.044,221.49,263.7
1749,27.984,4.127,25.19,1.0,1.1,0.5,4.9124,4.5468,20.2735,18.7645,20.2775,20.6432,20.4603,0.0061,35.061,222.29,264.27
1752,28.032,4.127,25.19,1.0,1.1,0.5,4.9127,4.5469,20.2749,18.7652,20.2772,20.643,20.4601,0.0061,35.078,223.1,264.83
1755,28.08,4.127,25.19,1.0,1.1,0.5,4.9129,4.547,20.2757,18.7657,20.277,20.6429,20.46,0.0061,35.094,223.9,265.4
1758,28.128,4.364,25.19,1.0,1.1,0.5,4.9055,4.5394,21.4076,19.81,20.3204,20.6871,20.5038,0.0061,35.111,224.7,265.96
1761,28.176,5.501,25.19,1.0,1.1,0.5,4.7209,4.3534,25.9699,23.9479,20.6451,21.0128,20.829,0.0061,35.128,225.51,266.53
1764,28.224,7.207,25.19,1.0,1.1,0.5,4.0421,3.6818,29.1316,26.5349,21.4034,21.7539,21.5786,0.0058,35.144,226.35,267.12
1767,28.272,7.397,25.19,1.0,1.1,0.5,3.4206,3.097,25.3025,22.9087,21.8824,22.1924,22.0374,0.0052,35.159,227.21,267.73
1770,28.32,7.397,25.19,1.0,1.1,0.5,3.1644,2.8775,23.4073,21.2848,22.0698,22.3477,22.2088,0.0046,35.172,228.08,268.34
1773,28.368,7.397,25.19,1.0,1.1,0.5,3.0642,2.7997,22.6662,20.7094,22.1431,22.4028,22.2729,0.0043,35.185,228.95,268.96
1776,28.416,7.397,25.19,1.0,1.1,0.5,3.0251,2.7721,22.3763,20.5055,22.1717,22.4223,22.297,0.0042,35.196,229.83,269.57
1779,28.464,7.397,25.19,1.0,1.1,0.5,3.0097,2.7624,22.2629,20.4333,22.1829,22.4292,22.3061,0.0041,35.208,230.7,270.19
1782,28.512,7.397,25.19,1.0,1.1,0.5,3.0037,2.7589,22.2186,20.4077,22.1873,22.4316,22.3095,0.0041,35.219,231.58,270.81
1785,28.56,7.397,25.19,1.0,1.1,0.5,3.0014,2.7577,22.2013,20.3986,22.189,22.4325,22.3108,0.0041,35.23,232.45,271.42
1788,28.608,7.397,25.19,1.0,1.1,0.5,3.0005,2.7573,22.1945,20.3954,22.1897,22.4328,22.3113,0.0041,35.241,233.33,272.04
1791,28.656,7.397,25.19,1.0,1.1,0.5,3.0001,2.7571,22.1918,20.3942,22.19,22.4329,22.3114,0.004,35.252,234.2,272.66
1794,28.704,8.392,25.19,1.0,1.1,0.5,2.9772,2.734,24.9848,22.9441,22.3015,22.545,22.4232,0.0041,35.263,235.08,273.28
1797,28.752,9.529,25.19,1.0,1.1,0.5,2.6623,2.4249,25.3689,23.1064,22.6186,22.85,22.7343,0.0039,35.274,235.97,273.91
1800,28.8,9.576,25.19,1.0,1.1,0.5,2.4648,2.2461,23.6027,21.5089,22.7533,22.9668,22.86,0.0036,35.284,236.86,274.54
1803,28.848,9.576,25.19,1.0,1.1,0.5,2.4058,2.1996,23.0382,21.0638,22.7923,22.9961,22.8942,0.0034,35.294,237.76,275.17
1806,28.896,9.624,25.19,1.0,1.1,0.5,2.3888,2.188,22.9895,21.057,22.8073,23.0072,22.9072,0.0033,35.303,238.65,275.81
1809,28.944,10.145,25.19,1.0,1.1,0.5,2.3475,2.149,23.8151,21.8017,22.8736,23.0711,22.9724,0.0033,35.312,239.55,276.45
1812,28.992,10.571,25.19,1.0,1.1,0.5,2.2559,2.0619,23.8471,21.7964,22.9633,23.1552,23.0593,0.0032,35.321,240.46,277.09
1815,29.04,10.713,25.19,1.0,1.1,0.5,2.19,2.0022,23.4613,21.4498,23.0148,23.2008,23.1078,0.0031,35.33,241.36,277.73
1818,29.088,11.045,25.19,1.0,1.1,0.5,2.1417,1.9585,23.6555,21.6312,23.0677,23.2495,23.1586,0.003,35.338,242.27,278.37
1821,29.136,11.282,25.19,1.0,1.1,0.5,2.0843,1.9055,23.5154,21.4981,23.1188,23.2961,23.2074,0.003,35.346,243.17,279.01
1824,29.184,11.566,25.19,1.0,1.1,0.5,2.0422,1.8673,23.6197,21.5976,23.1629,23.3366,23.2498,0.0029,35.354,244.08,279.66
1827,29.232,11.898,25.19,1.0,1.1,0.5,1.9967,1.8255,23.757,21.7194,23.2113,23.3814,23.2964,0.0028,35.362,245.0,280.31
1830,29.28,12.182,25.19,1.0,1.1,0.5,1.9435,1.776,23.6752,21.635,23.2603,23.4263,23.3433,0.0028,35.37,245.91,280.95
1833,29.328,12.182,25.19,1.0,1.1,0.5,1.9172,1.7535,23.3556,21.3607,23.2754,23.4385,23.3569,0.0027,35.377,246.82,281.6
1836,29.376,12.182,25.19,1.0,1.1,0.5,1.9122,1.7499,23.2939,21.3177,23.2784,23.4404,23.3594,0.0027,35.385,247.74,282.25
1839,29.424,12.182,25.19,1.0,1.1,0.5,1.9112,1.7494,23.2819,21.311,23.2789,23.4407,23.3598,0.0027,35.392,248.65,282.9
1842,29.472,12.182,25.19,1.0,1.1,0.5,1.911,1.7493,23.2796,21.3099,23.279,23.4407,23.3599,0.0027,35.399,249.56,283.55
1845,29.52,12.182,25.19,1.0,1.1,0.5,1.9109,1.7493,23.2792,21.3098,23.2791,23.4407,23.3599,0.0027,35.407,250.48,284.2
1848,29.568,12.372,25.19,1.0,1.1,0.5,1.9109,1.7493,23.6422,21.6421,23.2907,23.4524,23.3715,0.0027,35.414,251.39,284.85
1851,29.616,12.466,25.19,1.0,1.1,0.5,1.8799,1.7193,23.4352,21.4323,23.3141,23.4741,23.3941,0.0027,35.422,252.31,285.5
1854,29.664,12.514,25.19,1.0,1.1,0.5,1.8695,1.7103,23.3946,21.4027,23.3229,23.4817,23.4023,0.0026,35.429,253.22,286.15
1857,29.712,12.514,25.19,1.0,1.1,0.5,1.865,1.7066,23.3385,21.3569,23.3254,23.4837,23.4045,0.0026,35.436,254.14,286.8
1860,29.76,12.514,25.19,1.0,1.1,0.5,1.8642,1.7061,23.3283,21.3502,23.3259,23.4839,23.4049,0.0026,35.443,255.05,287.45
1863,29.808,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.3264,21.3492,23.326,23.484,23.405,0.0026,35.451,255.97,288.11
1866,29.856,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.3261,21.3491,23.326,23.484,23.405,0.0026,35.458,256.88,288.76
1869,29.904,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.465,257.8,289.41
1872,29.952,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.472,258.71,290.06
1875,30.0,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.48,259.63,290.71
1878,30.048,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.487,260.54,291.37
1881,30.096,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.494,261.46,292.02
1884,30.144,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.501,262.37,292.67
1887,30.192,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.509,263.29,293.32
1890,30.24,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.516,264.2,293.97
1893,30.288,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.523,265.12,294.63
1896,30.336,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.53,266.03,295.28
1899,30.384,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.538,266.94,295.93
1902,30.432,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.545,267.86,296.59
1905,30.48,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.552,268.77,297.24
1908,30.528,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.559,269.69,297.89
1911,30.576,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.567,270.6,298.55
1914,30.624,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.574,271.51,299.2
1917,30.672,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.581,272.43,299.85
1920,30.72,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.588,273.34,300.51
1923,30.768,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.596,274.26,301.16
1926,30.816,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.603,275.17,301.82
1929,30.864,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.61,276.08,302.47
1932,30.912,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.617,277.0,303.12
1935,30.96,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.624,277.91,303.78
1938,31.008,12.514,25.19,1.0,1.1,0.5,1.864,1.706,23.326,21.3491,23.326,23.484,23.405,0.0026,35.632,278.82,304.43
1941,31.056,11.85,25.19,1.0,1.1,0.5,1.8928,1.7348,22.4292,20.5568,23.2695,23.4283,23.3489,0.0026,35.639,279.73,305.09
1944,31.104,11.377,25.19,1.0,1.1,0.5,1.9757,1.8137,22.4779,20.6344,23.1907,23.3546,23.2727,0.0027,35.646,280.64,305.74
1947,31.152,11.235,25.19,1.0,1.1,0.5,2.0301,1.8627,22.8082,20.9271,23.1486,23.3175,23.2331,0.0028,35.654,281.55,306.39
1950,31.2,11.14,25.19,1.0,1.1,0.5,2.0555,1.8845,22.8985,20.9938,23.1269,23.2987,23.2128,0.0029,35.662,282.45,307.04
1953,31.248,11.092,25.19,1.0,1.1,0.5,2.0737,1.9007,23.0014,21.0826,23.1126,23.2861,23.1994,0.0029,35.67,283.36,307.69
1956,31.296,11.092,25.19,1.0,1.1,0.5,2.081,1.9067,23.0825,21.1494,23.1081,23.2827,23.1954,0.0029,35.678,284.26,308.34
1959,31.344,11.092,25.19,1.0,1.1,0.5,2.0827,1.9079,23.1012,21.1622,23.1071,23.282,23.1946,0.0029,35.686,285.17,308.99
1962,31.392,11.092,25.19,1.0,1.1,0.5,2.0831,1.9081,23.1055,21.1647,23.1069,23.2819,23.1944,0.0029,35.694,286.07,309.64
1965,31.44,11.092,25.19,1.0,1.1,0.5,2.0832,1.9081,23.1065,21.1652,23.1068,23.2818,23.1943,0.0029,35.702,286.98,310.29
1968,31.488,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1067,21.1653,23.1068,23.2818,23.1943,0.0029,35.71,287.88,310.93
1971,31.536,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.718,288.78,311.58
1974,31.584,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.726,289.69,312.23
1977,31.632,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.734,290.59,312.88
1980,31.68,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.742,291.5,313.54
1983,31.728,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.75,292.4,314.19
1986,31.776,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.758,293.3,314.84
1989,31.824,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.766,294.21,315.49
1992,31.872,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.774,295.11,316.14
1995,31.92,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.782,296.01,316.79
1998,31.968,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.79,296.92,317.44
2001,32.016,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.798,297.82,318.09
2004,32.064,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.806,298.72,318.74
2007,32.112,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.814,299.62,319.39
2010,32.16,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.822,300.53,320.05
2013,32.208,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.83,301.43,320.7
2016,32.256,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.838,302.33,321.35
2019,32.304,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.846,303.23,322.0
2022,32.352,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.854,304.14,322.65
2025,32.4,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.862,305.04,323.3
2028,32.448,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.87,305.94,323.96
2031,32.496,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.878,306.84,324.61
2034,32.544,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.886,307.75,325.26
2037,32.592,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.894,308.65,325.91
2040,32.64,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.902,309.55,326.57
2043,32.688,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.91,310.45,327.22
2046,32.736,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.919,311.35,327.87
2049,32.784,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.927,312.25,328.53
2052,32.832,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.935,313.16,329.18
2055,32.88,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.943,314.06,329.83
2058,32.928,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.951,314.96,330.49
2061,32.976,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.959,315.86,331.14
2064,33.024,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.967,316.76,331.79
2067,33.072,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.975,317.66,332.45
2070,33.12,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.983,318.56,333.1
2073,33.168,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.991,319.46,333.76
2076,33.216,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,35.999,320.36,334.41
2079,33.264,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.007,321.27,335.07
2082,33.312,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.015,322.17,335.72
2085,33.36,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.023,323.07,336.38
2088,33.408,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.031,323.97,337.03
2091,33.456,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.039,324.87,337.68
2094,33.504,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.047,325.77,338.34
2097,33.552,11.092,25.19,1.0,1.1,0.5,2.0832,1.9082,23.1068,21.1653,23.1068,23.2818,23.1943,0.0029,36.055,326.67,339.0
