frame,time_s,Kc,target_speed,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,30.0,110.0,11.1584,3.5552,334.752,106.656,109.6044,106.4516,108.028,-0.0525,-0.416,205.31,239.96
6,0.096,30.0,110.0,2.5654,3.5484,76.9626,106.4516,107.1983,106.4516,106.825,-0.0124,-0.4446,210.44,239.92
9,0.144,30.0,110.0,2.7541,3.5484,82.6216,106.4516,107.2511,106.4516,106.8514,-0.0133,-0.4814,215.57,239.88
12,0.192,30.0,110.0,2.7499,3.5484,82.4973,106.4516,107.25,106.4516,106.8508,-0.0133,-0.518,220.7,239.83
15,0.24,30.0,110.0,2.75,3.5484,82.5001,106.4516,107.25,106.4516,106.8508,-0.0133,-0.5546,225.82,239.79
18,0.288,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.5911,230.95,239.73
21,0.336,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.6277,236.08,239.68
24,0.384,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.6643,241.21,239.62
27,0.432,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.7009,246.34,239.56
30,0.48,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.7375,251.47,239.49
33,0.528,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.7741,256.6,239.43
36,0.576,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.8107,261.72,239.35
39,0.624,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.8473,266.85,239.28
42,0.672,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.8839,271.98,239.2
45,0.72,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.9205,277.11,239.12
48,0.768,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.9571,282.24,239.04
51,0.816,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-0.9937,287.36,238.95
54,0.864,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.0303,292.49,238.86
57,0.912,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.0669,297.62,238.76
60,0.96,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.1035,302.75,238.66
63,1.008,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.1401,307.88,238.56
66,1.056,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.1767,313.0,238.46
69,1.104,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.2133,318.13,238.35
72,1.152,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.2499,323.26,238.24
75,1.2,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.2865,328.39,238.13
78,1.248,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.3231,333.51,238.01
81,1.296,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.3596,338.64,237.89
84,1.344,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.3962,343.77,237.77
87,1.392,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.4328,348.9,237.64
90,1.44,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.4694,354.02,237.51
93,1.488,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.506,359.15,237.37
96,1.536,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.5426,364.28,237.24
99,1.584,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.5792,369.4,237.1
102,1.632,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.6158,374.53,236.95
105,1.68,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.6524,379.66,236.81
108,1.728,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.689,384.78,236.66
111,1.776,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.7256,389.91,236.5
114,1.824,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.7622,395.04,236.35
117,1.872,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.7988,400.16,236.19
120,1.92,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.8354,405.29,236.02
123,1.968,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.872,410.42,235.86
126,2.016,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.9086,415.54,235.69
129,2.064,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.9452,420.67,235.51
132,2.112,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-1.9818,425.79,235.34
135,2.16,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.0184,430.92,235.16
138,2.208,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.055,436.05,234.98
141,2.256,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.0916,441.17,234.79
144,2.304,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.1282,446.3,234.6
147,2.352,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.1647,451.42,234.41
150,2.4,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.2013,456.55,234.21
153,2.448,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.2379,461.67,234.01
156,2.496,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.2745,466.8,233.81
159,2.544,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.3111,471.92,233.6
162,2.592,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.3477,477.05,233.4
165,2.64,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.3843,482.17,233.18
168,2.688,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.4209,487.29,232.97
171,2.736,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.4575,492.42,232.75
174,2.784,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.4941,497.54,232.53
177,2.832,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.5307,502.67,232.3
180,2.88,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.5673,507.79,232.07
183,2.928,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.6039,512.91,231.84
186,2.976,30.0,110.0,2.75,3.5484,82.5,106.4516,107.25,106.4516,106.8508,-0.0133,-2.6405,518.04,231.61
