frame,time_s,Kc,target_speed,error_L,error_R,command_L,command_R,left_speed,right_speed,v,w,theta_deg,x,y
3,0.048,30.0,60.0,1.9392,2.2157,58.176,66.4704,58.0645,58.275,58.1697,0.0035,0.087,202.83,240.0
6,0.096,30.0,60.0,1.9355,1.7644,58.0645,52.932,58.0645,58.2353,58.1499,0.0028,0.0948,205.62,240.01
9,0.144,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1026,208.41,240.01
12,0.192,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1104,211.2,240.02
15,0.24,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1183,213.99,240.02
18,0.288,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1261,216.78,240.03
21,0.336,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1339,219.57,240.04
24,0.384,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1417,222.36,240.04
27,0.432,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1496,225.15,240.05
30,0.48,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1574,227.95,240.06
33,0.528,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1652,230.74,240.07
36,0.576,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1731,233.53,240.07
39,0.624,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1809,236.32,240.08
42,0.672,30.0,60.0,1.9355,1.7647,58.0645,52.9412,58.0645,58.2353,58.1499,0.0028,0.1887,239.11,240.09
